model_name,parent_class_id,parent_id,parent_name,collection_id,collection_name,category_id,category_name,category_rank,child_id,child_name,band_id,timeslice_name,sample_name,_date,period_id,unit_id,unit_name,interval_id,phase_id,phase_name,Generation (GWh),Load (GWh),Installed Capacity (MWh),Units Built,Capacity Built (MWh),Build Cost ($000),Units Retired,year,hour,month
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2023 12:00:00 AM,1,2,GWh,1,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2023,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2024 12:00:00 AM,2,2,GWh,2,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2024,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2025 12:00:00 AM,3,2,GWh,3,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2025,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2026 12:00:00 AM,4,2,GWh,4,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2026,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2027 12:00:00 AM,5,2,GWh,5,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2027,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2028 12:00:00 AM,6,2,GWh,6,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2028,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2029 12:00:00 AM,7,2,GWh,7,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2029,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2030 12:00:00 AM,8,2,GWh,8,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2030,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2031 12:00:00 AM,9,2,GWh,9,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2031,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2032 12:00:00 AM,10,2,GWh,10,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2032,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2033 12:00:00 AM,11,2,GWh,11,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2033,12,12
