"model_name","parent_class_id","parent_id","parent_name","collection_id","collection_name","category_id","category_name","category_rank","child_id","child_name","band_id","timeslice_name","sample_name","_date","period_id","unit_id","unit_name","interval_id","phase_id","phase_name","Production (ton)"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2033 12:00:00 AM","11","20","ton","11","1","LT Plan","2577.44847672101"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2034 12:00:00 AM","12","20","ton","12","1","LT Plan","2687.12443563882"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2035 12:00:00 AM","13","20","ton","13","1","LT Plan","2685.80478321669"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2036 12:00:00 AM","14","20","ton","14","1","LT Plan","2713.63022258656"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2037 12:00:00 AM","15","20","ton","15","1","LT Plan","2782.52618416647"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2038 12:00:00 AM","16","20","ton","16","1","LT Plan","2772.32354064165"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2039 12:00:00 AM","17","20","ton","17","1","LT Plan","2836.36055799916"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2040 12:00:00 AM","18","20","ton","18","1","LT Plan","2853.69993007584"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2041 12:00:00 AM","19","20","ton","19","1","LT Plan","2862.97351219987"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2042 12:00:00 AM","20","20","ton","20","1","LT Plan","3017.46215696798"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2043 12:00:00 AM","21","20","ton","21","1","LT Plan","3108.40785351237"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2044 12:00:00 AM","22","20","ton","22","1","LT Plan","3151.49098779391"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2045 12:00:00 AM","23","20","ton","23","1","LT Plan","3172.46087597177"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2046 12:00:00 AM","24","20","ton","24","1","LT Plan","3212.95560899338"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2047 12:00:00 AM","25","20","ton","25","1","LT Plan","3272.44915563046"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2048 12:00:00 AM","26","20","ton","26","1","LT Plan","3290.50255204885"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2049 12:00:00 AM","27","20","ton","27","1","LT Plan","3350.79809484431"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2050 12:00:00 AM","28","20","ton","28","1","LT Plan","1080.47614815585"
"RPS_070_SPS_010","1","1","System","108","Emission","117","SO2","2","234","SO2","1","All Periods","Mean","12/31/2051 12:00:00 AM","29","20","ton","29","1","LT Plan","900.792841548639"
